"dimension","group","personas","completion_rate","wow_rate","love_score","ease_score","clarity_score","trust_score","confidence_lift_score","stress_reduction_score","family_time_back_resonance_score","use_again_score","estimated_minutes_saved","time_to_value_seconds"
"connection","unknown guest network","1000","60","34.9","65.3","56.4","63.8","77.9","68.9","50.7","80.7","68.1","11.3","90.1"
"connection","offline-first","1000","56.1","33.3","64.4","54.8","63.3","77.5","68.4","49.6","80.3","67.4","10.9","91.1"
"connection","good","1000","64.1","39.5","67.1","60.2","63.6","78","69.3","52.9","81.8","69.3","12.1","87.2"
"connection","spotty","1000","62.5","39.1","66","56.6","63.4","77.8","69.1","51.5","81.1","68.8","11.4","90.1"
"connection","mostly good","1000","62.1","39","66.7","59.2","63.5","77.7","69.1","52.5","81.4","69.1","11.9","88.1"
"accessibility_need","screen reader","1000","58.7","36.1","64.3","54.7","60.8","77.8","67.7","49.4","80.8","67.7","11","91.2"
"accessibility_need","low vision","1000","61.1","36.9","65.6","56.8","63.2","77.6","68.7","51.1","81","68.3","11.4","89.8"
"accessibility_need","high cognitive load","1000","55.8","32.8","63.1","53.7","59.8","77.9","67","48.1","80","66.9","10.7","91.8"
"accessibility_need","none stated","1000","68.4","43.9","70.7","64","70","77.9","72.4","57.3","82.8","71.4","12.8","84.7"
"accessibility_need","limited dexterity","1000","60.8","36.1","65.9","57.9","63.8","77.8","69","51.5","80.8","68.4","11.5","89"
"language","Spanish-first","1000","61.9","35.5","64","54.4","60.4","78","67.6","49.1","80.5","67.6","11","91.2"
"language","English/Spanish","1000","62.7","38.1","67.1","59.3","65.4","77.9","69.9","52.9","81.6","69.2","11.8","88.1"
"language","English","1000","64.9","41","68.6","61.3","67.3","77.4","70.8","54.8","81.8","70.1","12.3","86.8"
"language","prefers visual steps","1000","58","37.8","65.7","56.9","63.3","77.4","68.8","51.3","81.1","68.5","11.4","89.6"
"language","English learner","1000","57.3","33.4","64.1","55.3","61.2","78.2","67.7","49.2","80.3","67.4","11","90.8"
"life_stage","raising young children","1000","63.8","39.8","66.7","57.6","63.7","77.9","69.3","52.1","84.4","69.1","11.6","89"
"life_stage","late career or empty nest","1000","60.6","36.9","65.9","57.7","63.8","78.1","69.1","51.6","79.1","68.6","11.5","89.6"
"life_stage","established family","1000","61.8","36.2","65.4","57.3","63.3","77.5","68.7","51.1","78.8","68.2","11.5","89.1"
"life_stage","sandwich caregiver","1000","60.8","36.3","65.9","57.3","63.4","77.6","68.8","51.2","83.9","68.3","11.5","89.4"
"life_stage","early career","1000","57.8","36.6","65.6","57.4","63.3","77.8","68.8","51.3","79.1","68.4","11.5","89.5"
"time_pressure","elder-care responsibility","1000","64.6","39.1","66.5","57.7","63.7","78.3","69.4","52","82.2","69.1","11.6","89"
"time_pressure","protect dinner at home","1000","59.2","36.5","65.9","58.3","64.1","77.6","69.1","51.8","77.8","68.5","11.6","88.7"
"time_pressure","unpredictable on-call schedule","1000","61.7","36.4","65.6","57","63.1","77.9","68.7","51","81.7","68.3","11.4","89.8"
"time_pressure","school or daycare pickup","1000","59.4","37.1","65.7","57","63.2","77.6","68.7","51.2","81.9","68.4","11.4","89.7"
"time_pressure","second job or side work","1000","59.9","36.7","65.7","57.1","63.5","77.6","68.8","51.2","81.7","68.4","11.4","89.4"
"financial_context","seasonal cash flow","1000","59.2","36.1","65.8","57.8","63.6","77.8","68.9","51.4","81","68.4","11.5","89"
"financial_context","growth and payroll pressure","1000","62.1","38.3","66.1","57.4","63.6","77.8","69.1","51.7","81.1","68.8","11.5","89.3"
"financial_context","stable budget","1000","62.3","40.1","66.4","57.3","63.4","77.9","69.2","52","81.5","69.1","11.6","89.5"
"financial_context","price-sensitive solo operation","1000","58.9","34.8","65.4","57.2","63.2","78","68.7","50.8","80.9","68.1","11.4","89.4"
"financial_context","equipment or vehicle payment","1000","62.3","36.5","65.8","57.5","63.7","77.5","68.9","51.4","80.9","68.4","11.5","89.3"
"geography_climate","desert heat","1000","61.5","37.7","66.2","57.7","63.9","77.8","69.2","51.8","80.9","68.7","11.6","89"
"geography_climate","Sun Belt year-round","1000","60.5","37.8","66.1","57.7","63.7","77.8","69.1","51.7","81.4","68.7","11.5","89.4"
"geography_climate","freeze-thaw Midwest","1000","59.4","35.4","65.6","57.4","63.5","77.9","68.8","51.1","80.9","68.2","11.4","89.3"
"geography_climate","coastal salt air","1000","61.7","36.6","65.7","57.4","63.4","77.5","68.8","51.3","80.9","68.3","11.5","89.3"
"geography_climate","seasonal northern market","1000","61.7","38.3","65.9","57.1","63.1","77.9","68.9","51.4","81.2","68.7","11.5","89.6"
"shift_pattern","early route","1000","62.9","36","66.5","59.4","64.9","77.6","69.4","52.4","81","68.6","11.8","87.9"
"shift_pattern","nights or weekends","1000","59.4","34.9","65","56.3","62.7","77.8","68.4","50.3","80.8","67.9","11.3","89.9"
"shift_pattern","emergency on-call","1000","60","37.8","65.2","55.7","62.2","77.8","68.5","50.5","81.1","68.3","11.2","90.6"
"shift_pattern","standard daytime","1000","60.4","38.7","67.1","59.3","64.9","77.9","69.7","52.9","81.3","69.3","11.9","88.2"
"shift_pattern","split shift","1000","62.1","38.4","65.7","56.5","62.8","77.9","68.8","51.1","81","68.6","11.4","90.1"
"cognitive_state","normal workday","1000","64.1","39.1","67.9","61.2","66.1","77.5","70.1","54","81.5","69.5","12.2","86.9"
"cognitive_state","interrupted and multitasking","1000","60.1","36","64.6","55.2","61.8","77.6","68.1","49.9","80.7","67.8","11.1","90.8"
"cognitive_state","rested","1000","63.8","38","67.8","61.2","66.1","78.1","70.2","53.8","81.5","69.5","12.2","86.6"
"cognitive_state","end-of-day fatigue","1000","59","35.8","64.4","54.5","61.7","77.9","68.1","49.5","80.8","67.8","11","91.5"
"cognitive_state","rushed","1000","57.8","36.9","64.8","55.1","61.9","78","68.3","50.1","80.7","68.1","11.1","90.8"
"ai_trust","very high","1000","59","36.7","67","57.1","63.2","84.8","70.9","51.6","81","70.5","11.4","89.9"
"ai_trust","high","1000","62.4","38.7","67.1","57.4","63.5","82.7","70.6","52.1","81.4","70.3","11.6","89.1"
"ai_trust","low","1000","60.1","36","64.9","57.3","63.5","73.9","67.7","50.9","80.8","67.1","11.4","89.4"
"ai_trust","neutral","1000","61.8","37.8","66.2","57.4","63.5","78.7","69.3","51.6","81","68.9","11.5","89.3"
"ai_trust","very low","1000","61.5","36.6","64.3","58","63.7","68.8","66.3","51.1","81","65.9","11.6","89"
"training_background","manufacturer-trained","1000","62.6","38.3","66.2","57.6","63.5","77.9","69.1","51.7","81.2","68.8","11.6","89.2"
"training_background","CPO or credentialed","1000","60","37.4","65.8","57.3","63.4","77.6","68.9","51.4","81","68.5","11.5","89.5"
"training_background","apprenticeship or ride-along","1000","60.2","37.1","66.1","57.7","63.8","78.1","69.1","51.6","81.3","68.7","11.6","88.9"
"training_background","cross-trade entrant","1000","61.7","37.3","65.8","57.1","63.4","77.9","68.9","51.3","80.9","68.6","11.5","89.5"
"training_background","self-taught","1000","60.3","35.7","65.6","57.5","63.5","77.5","68.7","51.1","81","68.2","11.5","89.4"
"privacy_stance","avoids accounts","1000","59.8","36.2","65.8","57.5","63.7","77.9","68.9","51.3","81.3","68.4","11.5","89.4"
"privacy_stance","wants clear controls","1000","62.2","37.3","66","57.6","63.6","77.6","69","51.6","81","68.6","11.5","89.1"
"privacy_stance","comfortable with cloud tools","1000","60.1","36.5","65.6","57.2","63.3","77.5","68.7","51.2","80.9","68.3","11.4","89.6"
"privacy_stance","will share for clear value","1000","60.9","36.4","65.7","57.3","63.2","77.9","68.8","51.2","81","68.4","11.5","89.5"
"privacy_stance","shares only with employer","1000","61.8","39.4","66.5","57.7","63.7","78.1","69.3","52.1","81.1","69.1","11.6","88.9"
"work_setting","multi-tech service company","200","64","49.5","72.6","64.5","68.1","76.8","73.5","58.2","83","74.8","17.8","76.2"
"work_setting","solo residential route","200","68.5","45.5","72.4","66","69","76.2","73.3","58.2","82.8","74.1","18","74.8"
"work_setting","warranty service route","200","65.5","44","71.9","64.6","69.1","76.7","73.4","57.5","82.6","73.9","17.6","77"
"work_setting","repair-only specialist","200","69","47.5","72.2","64.4","67.8","77.5","73.4","57.7","83.2","74.6","17.7","76.4"
"work_setting","commercial pool route","200","71","54.5","74.2","66.1","68.9","77.2","74.5","60.1","83.8","76.2","18.2","75.9"
"work_setting","fitness or medical facility","200","73.5","60","78.6","69.9","75.7","81.3","78.7","64.9","85.2","79.1","17.4","63.8"
"work_setting","apartment or HOA pool","200","80","65.5","79.3","68.8","75.4","81.4","79.2","65.5","85.8","80","17.4","65.7"
"work_setting","hotel or resort","200","75","60","78.3","69","75.6","81.2","78.7","64.5","84.9","79","17.3","65.6"
"work_setting","municipal or school facility","200","66","52","76.8","69.2","75.7","80.9","77.8","63","84.1","77.4","17","66"
"work_setting","swim school","200","71.5","58.5","77.9","69.1","75.9","80","78.3","64.3","84.7","78.4","17.2","65.6"
"work_setting","independent pool store","200","64.5","35.5","65.4","54.4","64.6","77.4","69.6","50.4","80.6","68.7","10.9","96.3"
"work_setting","regional distributor counter","200","65.5","37","65.4","53.6","64.7","76.7","69.6","50.4","81.1","68.7","10.7","97.5"
"work_setting","service-company stock room","200","55","33","64.8","54","64.8","76.8","69.2","49.8","80.4","68","10.7","96.3"
"work_setting","manufacturer support desk","200","61.5","39.5","66.1","54.4","64.8","77.1","70","51.3","80.9","69.4","10.9","96.8"
"work_setting","mobile parts seller","200","61","34.5","64.9","53.2","64.6","77.2","69.4","49.8","80.8","68.3","10.6","97.1"
"work_setting","service-company ride-along","200","51","23.5","57","45.5","55.1","76.7","62.9","41.5","78.4","61.9","6.3","114.5"
"work_setting","CPO classroom","200","51.5","19.5","56.9","45.4","56.4","77.8","63.4","41.1","78.3","61.6","6.1","114.7"
"work_setting","manufacturer training","200","50.5","22","56.9","45.6","55.7","76.7","63","41.4","77.8","61.7","6.3","113.6"
"work_setting","trade-school lab","200","44.5","24.5","57.8","47","55.8","76.8","63.3","42.5","78.2","62.3","6.6","112.4"
"work_setting","independent online training","200","53.5","21","56.7","45.4","55.8","76.7","62.9","41.2","78.4","61.5","6.1","115"
"work_setting","owner working with a service company","200","50","18.5","55.8","52.8","52.7","77.1","59.7","42","78.1","58.3","5.2","95"
"work_setting","first-time pool owner","200","53","20","56.2","53","52.8","77.3","60","42.4","78.4","58.7","5.3","94"
"work_setting","HOA board volunteer","200","54","22.5","56.9","53.8","53.2","77","60.3","43.3","78.7","59.2","5.6","93.4"
"work_setting","experienced DIY owner","200","57.5","22","56.6","53.1","52.7","77.7","60.2","42.9","78.4","59.2","5.4","94.9"
"work_setting","short-term rental owner","200","47","19","55.9","53.1","52.8","76.7","59.7","42.2","77.8","58.4","5.3","94.4"
"personal_priority","get home for dinner","1000","63.7","39.2","66.8","57.9","63.8","78.2","69.4","52.1","84.4","69.1","11.6","89"
"personal_priority","feel confident without calling a boss","1000","61.2","35.7","65.5","57.7","63.6","77.4","68.7","51.2","79","68.2","11.5","89"
"personal_priority","protect customer or facility trust","1000","59.7","35.1","65.3","57.1","63.5","77.7","68.7","50.9","78.8","68.1","11.4","89.6"
"personal_priority","teach the next person faster","1000","60.7","37.5","65.9","57.5","63.4","78","69","51.5","79","68.7","11.5","89.5"
"personal_priority","avoid a weekend callback","1000","59.5","38.3","66.1","57","63.3","77.6","68.9","51.5","84.1","68.7","11.5","89.5"
