"group","personas","completion_rate","wow_rate","love_score","ease_score","clarity_score","trust_score","confidence_lift_score","stress_reduction_score","family_time_back_resonance_score","use_again_score","estimated_minutes_saved","time_to_value_seconds"
"counter-batch-2","100","59","33","64.8","54.3","64.5","76.5","69","49.8","80.5","67.9","10.8","96.6"
"counter-batch-3","100","62","32","64.6","53.8","64.7","77.4","69.2","49.5","80.4","68","10.7","96.4"
"counter-batch-4","100","66","33","64.7","54.1","64.6","76.5","69","49.8","80.5","67.9","10.8","96.2"
"counter-batch-5","100","56","38","65.7","53.7","64.7","77.3","69.8","50.7","81","69.1","10.8","97.1"
"counter-batch-6","100","64","41","66.2","53.8","64.7","77","70","51.3","81.3","69.6","10.9","97.5"
"counter-batch-7","100","60","39","65.9","53.8","64.8","77.3","70","51","81.1","69.3","10.8","97"
"counter-batch-8","100","59","34","65.1","54.1","64.6","77.4","69.4","50","80.6","68.4","10.7","96.9"
"counter-batch-9","100","64","34","65","53.5","64.9","77.2","69.5","49.9","80.6","68.3","10.7","96.4"
"counter-batch-10","100","59","38","65.7","53.7","64.7","76.9","69.7","50.7","81","69","10.8","97.5"
"trainer-batch-1","100","45","21","56.8","45.8","55.5","77","62.9","41.2","78.1","61.6","6.2","114.8"
"trainer-batch-2","100","42","12","55","46","55.2","76.6","61.8","39.4","77.1","59.7","6","114.4"
"trainer-batch-3","100","47","21","57","46","56.1","76.9","63.1","41.5","78.1","61.6","6.3","114.1"
"trainer-batch-4","100","47","25","57.8","45.8","56.3","77.1","63.7","42.3","78.6","62.5","6.4","113.7"
"trainer-batch-5","100","53","21","56.8","45.1","55.8","77.6","63.2","41.1","78.1","61.7","6.1","114.4"
"trainer-batch-6","100","47","24","57.6","45.9","56","77.4","63.5","42.1","78.5","62.3","6.4","113.6"
"trainer-batch-7","100","56","28","58.1","45.7","55.6","76.9","63.6","42.6","78.8","62.9","6.5","113.7"
"trainer-batch-8","100","60","25","57.6","46.2","55.8","76.2","63.2","42.2","78.6","62.2","6.4","113.9"
"trainer-batch-9","100","52","23","57.2","45.8","55.6","77.1","63.2","41.7","78.3","62","6.3","114.2"
"trainer-batch-10","100","53","21","56.8","45.6","55.6","76.9","62.9","41.2","78.1","61.5","6.2","113.6"
"homeowner-batch-1","100","56","20","56.1","53","52.6","77.1","59.8","42.4","78.2","58.6","5.3","95.3"
"homeowner-batch-2","100","50","23","56.9","53.5","53.1","77","60.3","43.3","78.6","59.3","5.5","93.8"
"homeowner-batch-3","100","45","20","56.2","53.4","52.7","77.1","59.9","42.5","78.3","58.7","5.4","94.2"
"homeowner-batch-4","100","57","18","55.6","53","52.3","77","59.5","41.8","78","58.2","5.3","94.3"
"homeowner-batch-5","100","50","15","55.3","53","53.1","77.2","59.5","41.5","77.7","57.8","5.1","94.8"
"homeowner-batch-6","100","50","22","56.6","53.1","52.7","77.6","60.2","42.8","78.5","59.2","5.4","94.2"
"homeowner-batch-7","100","51","16","55.5","53.1","52.9","77","59.5","41.7","77.8","57.9","5.2","94.4"
"homeowner-batch-8","100","48","20","56.3","52.7","53.4","77.2","60.2","42.5","78.2","58.7","5.3","94.2"
"homeowner-batch-9","100","57","19","56.1","53.5","53","77.1","59.9","42.4","78.2","58.5","5.4","94.3"
"homeowner-batch-10","100","59","31","58.3","53.6","52.5","77.3","60.9","44.7","79.4","60.8","5.8","93.9"
